fold,search,run,best_optimizer,n_test,RMSE,MAE,R2,best_val_loss,best_params,epochs,DM_stat,DM_pvalue,run_id,is_ensemble
fold2_search3_run9,3.0,9.0,RMSprop,44.0,0.1018853634595871,0.0830404087901115,-0.7214017475568748,0.0037826159968972,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 16, 'dropout': 0.44103710207826635, 'lr': 0.0009654461041873508, 'batch': 8}",25.0,0.9549982945149299,0.3395785594318774,,
fold2_search4_ens,4.0,,,,0.12347451836607935,0.10704453893457028,-1.528210858743258,0.0038934855256229,"{'optimizer': 'Adam', 'lookback': 8, 'units': 32, 'dropout': 0.35376592178009764, 'lr': 0.0007110899831006268, 'batch': 8}",,2.415821045652273,0.015699775275158423,Ensemble,True
fold2_search4_run1,4.0,1.0,Adam,44.0,0.1350457519292831,0.1118960455060005,-2.024269106225556,0.0038934855256229,"{'optimizer': 'Adam', 'lookback': 8, 'units': 32, 'dropout': 0.35376592178009764, 'lr': 0.0007110899831006268, 'batch': 8}",43.0,3.0501291405565194,0.002287429866213886,,
fold2_search4_run10,4.0,10.0,Adam,44.0,0.1539914011955261,0.1234844475984573,-2.9323451200471293,0.0038934855256229,"{'optimizer': 'Adam', 'lookback': 8, 'units': 32, 'dropout': 0.35376592178009764, 'lr': 0.0007110899831006268, 'batch': 8}",43.0,2.72744987584914,0.006382595383435108,,
fold2_search4_run2,4.0,2.0,Adam,44.0,0.1740168184041977,0.1449658572673797,-4.021587909181743,0.0038934855256229,"{'optimizer': 'Adam', 'lookback': 8, 'units': 32, 'dropout': 0.35376592178009764, 'lr': 0.0007110899831006268, 'batch': 8}",43.0,4.176959689943043,2.954313555658672e-05,,
fold2_search4_run3,4.0,3.0,Adam,44.0,0.1436368525028228,0.1270970553159713,-2.421293626805122,0.0038934855256229,"{'optimizer': 'Adam', 'lookback': 8, 'units': 32, 'dropout': 0.35376592178009764, 'lr': 0.0007110899831006268, 'batch': 8}",43.0,3.4821275301368226,0.0004974467224203583,,
fold2_search4_run4,4.0,4.0,Adam,44.0,0.1113714203238487,0.0889583751559257,-1.0568663076122506,0.0038934855256229,"{'optimizer': 'Adam', 'lookback': 8, 'units': 32, 'dropout': 0.35376592178009764, 'lr': 0.0007110899831006268, 'batch': 8}",43.0,1.4109006028168132,0.15827392440988586,,
fold2_search4_run5,4.0,5.0,Adam,44.0,0.1990077197551727,0.1718456745147705,-5.56747508520693,0.0038934855256229,"{'optimizer': 'Adam', 'lookback': 8, 'units': 32, 'dropout': 0.35376592178009764, 'lr': 0.0007110899831006268, 'batch': 8}",43.0,5.675039709861643,1.386564885130781e-08,,
fold2_search4_run6,4.0,6.0,Adam,44.0,0.1650694161653518,0.1376497149467468,-3.5184747343349905,0.0038934855256229,"{'optimizer': 'Adam', 'lookback': 8, 'units': 32, 'dropout': 0.35376592178009764, 'lr': 0.0007110899831006268, 'batch': 8}",43.0,4.632185821673598,3.6182516875982174e-06,,
fold2_search4_run7,4.0,7.0,Adam,44.0,0.140501007437706,0.1187703683972358,-2.273538736535642,0.0038934855256229,"{'optimizer': 'Adam', 'lookback': 8, 'units': 32, 'dropout': 0.35376592178009764, 'lr': 0.0007110899831006268, 'batch': 8}",43.0,2.772849107354416,0.005556788032568649,,
fold2_search4_run8,4.0,8.0,Adam,44.0,0.2253656536340713,0.1994480490684509,-7.422366728039709,0.0038934855256229,"{'optimizer': 'Adam', 'lookback': 8, 'units': 32, 'dropout': 0.35376592178009764, 'lr': 0.0007110899831006268, 'batch': 8}",43.0,5.86909721090668,4.381744744819116e-09,,
fold2_search4_run9,4.0,9.0,Adam,44.0,0.110567107796669,0.0871427804231643,-1.0272649160637068,0.0038934855256229,"{'optimizer': 'Adam', 'lookback': 8, 'units': 32, 'dropout': 0.35376592178009764, 'lr': 0.0007110899831006268, 'batch': 8}",43.0,1.4911016866261024,0.13593479959189514,,
fold2_search5_ens,5.0,,,,0.08981294024575243,0.07542169244942848,-0.3376313517977201,0.0044121798127889,"{'optimizer': 'Adam', 'lookback': 8, 'units': 8, 'dropout': 0.4128237556200936, 'lr': 0.0004057591103706667, 'batch': 8}",,0.3204374753115248,0.7486367207808415,Ensemble,True
fold2_search5_run1,5.0,1.0,Adam,44.0,0.088935874402523,0.0736170336604118,-0.3116337243932017,0.0044121798127889,"{'optimizer': 'Adam', 'lookback': 8, 'units': 8, 'dropout': 0.4128237556200936, 'lr': 0.0004057591103706667, 'batch': 8}",112.0,0.2788488705495718,0.7803608080377094,,
fold2_search5_run10,5.0,10.0,Adam,44.0,0.1544446051120758,0.1355919241905212,-2.9555244037551938,0.0044121798127889,"{'optimizer': 'Adam', 'lookback': 8, 'units': 8, 'dropout': 0.4128237556200936, 'lr': 0.0004057591103706667, 'batch': 8}",112.0,4.052275399565948,5.072190867605464e-05,,
